symbol	id
STK11	NM_000455.5
STN1	NM_024928.5
STX11	NM_003764.4
STXBP2	NM_006949.4
SUFU	NM_016169.4
SYK	NM_003177.7
TBXT	NM_001366285.2
TCF3	NM_001136139.4
TCF3	NM_003200.5
TCF7L2	NM_001367943.1
TDG	NM_003211.6
TDP1	NM_018319.4
TDP2	NM_016614.3
TERF2IP	NM_018975.4
TERT	NM_198253.3
TET2	NM_001127208.3
TFAP2A	NM_001372066.1
TFE3	NM_006521.6
TG	NM_003235.5
TGFBR1	NM_004612.4
TGFBR2	NM_003242.6
TINF2	NM_001099274.3
TMC6	NM_001127198.5
TMC8	NM_152468.5
TMEM127	NM_017849.4
TMEM43	NM_024334.3
TNFAIP3	NM_001270508.2
TNFRSF11A	NM_003839.4
TNNC1	NM_003280.3
TNNI3	NM_000363.5
TNNT2	NM_001276345.2
TOPBP1	NM_007027.4
TP53	NM_000546.6
TP53BP1	NM_001141980.3
TPM1	NM_001018005.2
TPMT	NM_000367.5
TRDN	NM_006073.4
TREX1	NM_033629.6
TREX2	NM_080701.4
TRIM24	NM_015905.3
TRIM28	NM_005762.3
TRIM37	NM_015294.6
TRIP13	NM_004237.4
TSC1	NM_000368.5
TSC2	NM_000548.5
TSHR	NM_000369.5
TSR2	NM_058163.3
TTC7A	NM_020458.4
TTN	NM_001267550.2
TTN	NM_133379.5
TTR	NM_000371.4
TYK2	NM_003331.5
UBA2	NM_005499.3
UBE2A	NM_003336.4
UBE2B	NM_003337.4
UBE2N	NM_003348.4
UBE2T	NM_014176.4
UBE2V2	NM_003350.3
UNC13D	NM_199242.3
UNG	NM_080911.3
UVSSA	NM_020894.4
VANGL1	NM_138959.3
VDR	NM_000376.3
VHL	NM_000551.4
WAS	NM_000377.3
WIF1	NM_007191.5
WRAP53	NM_001143992.2
WRN	NM_000553.6
WT1	NM_024426.6
XAB2	NM_020196.3
XPA	NM_000380.4
XPC	NM_004628.5
XRCC1	NM_006297.3
XRCC2	NM_005431.2
XRCC3	NM_005432.4
XRCC4	NM_003401.5
XRCC5	NM_021141.4
XRCC6	NM_001469.5
ZBTB16	NM_006006.6
